date,aqi,pm25,pm10,no2,so2,co,o3,city,dayofweek,is_weekend,day,month,month_sin,month_cos,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_7,pm25_lag_14,pm25_lag_21,pm25_lag_28,pm25_roll_3_mean,pm25_roll_7_mean,pm25_roll_14_mean,pm25_roll_7_std,pm25_diff_1,sin_1,cos_1,sin_2,cos_2,sin_3,cos_3,target_t+1
2018-02-08,86.0,47.3,92.88,71.38,98.04,0.9,81.7,Chennai,3,0,8,2,0.8660254037844386,0.5000000000000001,81.4,72.6,72.6,55.0,96.8,60.5,26.4,75.53333333333332,66.62857142857142,75.58571428571429,17.68695039529748,-34.10000000000001,0.6081214998935418,0.7938439653781019,0.9655071658143364,0.2603764827344581,0.9248025743285089,-0.38044736628785164,45.65
2018-02-09,83.0,45.65,89.64,68.89,94.62,0.87,78.85,Chennai,4,0,9,2,0.8660254037844386,0.5000000000000001,47.3,81.4,72.6,89.1,86.9,78.65,53.9,67.10000000000001,65.52857142857142,72.05,18.738860182849447,-1.6499999999999986,0.6216868902665479,0.7832658619336791,0.9738922359149924,0.22701082094141847,0.9039461929224011,-0.42764620926777464,34.65
2018-02-10,63.0,34.65,68.04,52.29,71.82,0.66,59.85,Chennai,5,1,10,2,0.8660254037844386,0.5000000000000001,45.65,47.3,81.4,58.85,90.75,70.95,119.35,58.11666666666667,59.32142857142857,69.10357142857143,16.71682927329163,-11.0,0.6350683134867438,0.7724559775191742,0.981124629771712,0.19337647441020586,0.8806828564301475,-0.47370635037968,41.25
2018-02-11,75.0,41.25,81.0,62.25,85.5,0.79,71.25,Chennai,6,1,11,2,0.8660254037844386,0.5000000000000001,34.65,45.65,47.3,36.85,84.7,91.3,84.7,42.53333333333333,55.864285714285714,65.09642857142858,19.155106244500292,6.600000000000001,0.6482618097757122,0.7614175109532997,0.9871957872910085,0.15951325197263655,0.8550745085896932,-0.518505144391157,30.8
2018-02-12,56.0,30.8,60.48,46.48,63.84,0.59,53.2,Chennai,0,0,12,2,0.8660254037844386,0.5000000000000001,41.25,34.65,45.65,72.6,79.75,82.5,74.25,40.516666666666666,56.49285714285715,61.99285714285714,18.48773080927428,-10.45,0.6612634749656386,0.7501537286959042,0.992098522791769,0.12546123335273648,0.8271893372462497,-0.5619233046832195,74.8
2018-02-13,136.0,74.8,146.88,112.88,155.04,1.43,129.2,Chennai,1,0,13,2,0.8660254037844386,0.5000000000000001,30.8,41.25,34.65,72.6,70.4,76.45,74.25,35.56666666666667,50.52142857142858,58.496428571428574,19.156610198198244,44.0,0.6740694616546161,0.7386679638813748,0.9958270335100595,0.09126072172931188,0.7971015927871943,-0.6038452208771035,68.2
2018-02-14,124.0,68.2,133.92,102.92,141.36,1.3,117.8,Chennai,2,0,14,2,0.8660254037844386,0.5000000000000001,74.8,30.8,41.25,81.4,82.5,71.5,88.55,48.949999999999996,50.83571428571429,58.81071428571429,19.592296834166582,-6.599999999999994,0.6866759803451553,0.726963615332308,0.998376906467142,0.056952196034039754,0.7648913904341225,-0.6441592666722685,57.2
2018-02-15,104.0,57.2,112.32,86.32,118.56,1.09,98.8,Chennai,3,0,15,2,0.8660254037844386,0.5000000000000001,68.2,74.8,30.8,47.3,55.0,96.8,60.5,57.93333333333334,48.949999999999996,57.78928571428572,16.56099835959974,-11.0,0.6990793005655562,0.7150441465537444,0.9997451236925734,0.022576263041545485,0.7306444969184916,-0.6827580970759147,66.0
2018-02-16,120.0,66.0,129.6,99.6,136.8,1.26,114.0,Chennai,4,0,16,2,0.8660254037844386,0.5000000000000001,57.2,68.2,74.8,45.65,89.1,86.9,78.65,66.73333333333333,50.36428571428572,57.94642857142857,16.817345071029905,8.799999999999997,0.7112757519738152,0.7029130847082615,0.9999300657962057,-0.011826390691832589,0.6944521021088763,-0.719538934232584,57.75
2018-02-17,105.0,57.75,113.4,87.15,119.7,1.1,99.75,Chennai,5,1,17,2,0.8660254037844386,0.5000000000000001,66.0,57.2,68.2,34.65,58.85,90.75,70.95,63.800000000000004,53.27142857142858,56.29642857142857,17.606955470846735,-8.25,0.7232617254437388,0.6905740195722293,0.9989315138848577,-0.046215046983708354,0.6564105761979381,-0.7544038410927472,72.05
2018-02-18,131.0,72.05,141.48,108.73,149.34,1.38,124.45,Chennai,6,1,18,2,0.8660254037844386,0.5000000000000001,57.75,66.0,57.2,41.25,36.85,84.7,91.3,60.31666666666666,56.57142857142858,56.21785714285714,15.583641453536456,14.299999999999997,0.7350336741329413,0.6780306024735382,0.9967506498213929,-0.08054900421874167,0.6166212130956382,-0.7872599821916922,82.5
2018-02-19,150.0,82.5,162.0,124.5,171.0,1.58,142.5,Chennai,0,0,19,2,0.8660254037844386,0.5000000000000001,72.05,57.75,66.0,30.8,72.6,79.75,82.5,65.26666666666667,60.97142857142858,58.732142857142854,14.868418912324875,10.450000000000003,0.746588114532413,0.6652865452111116,0.9933900548258936,-0.11478762552212701,0.5751899607119775,-0.8180198708443174,63.8
2018-02-20,116.0,63.8,125.28,96.28,132.24,1.22,110.2,Chennai,1,0,20,2,0.8660254037844386,0.5000000000000001,82.5,72.05,57.75,74.8,72.6,70.4,76.45,70.76666666666667,68.35714285714286,59.439285714285724,9.108074648877396,-18.700000000000003,0.7579216274973472,0.6523456189565257,0.9888537064205885,-0.1488903868564548,0.5322271388474397,-0.8466016020976267,88.0
2018-02-21,160.0,88.0,172.8,132.8,182.4,1.68,152.0,Chennai,2,0,21,2,0.8660254037844386,0.5000000000000001,63.8,82.5,72.05,68.2,81.4,82.5,71.5,72.78333333333333,66.78571428571429,58.81071428571429,8.753223895881325,24.200000000000003,0.7690308592589181,0.6392116531380588,0.9831469737221499,-0.1828169249850199,0.4878471454423119,-0.8729290708206411,65.45
2018-02-22,119.0,65.45,128.52,98.77,135.66,1.25,113.05,Chennai,3,0,22,2,0.8660254037844386,0.5000000000000001,88.0,63.8,82.5,57.2,47.3,55.0,96.8,78.10000000000001,69.61428571428571,59.28214285714286,11.914651844322936,-22.549999999999997,0.7799125224167177,0.6258885343075018,0.9762766110869321,-0.21652708524481437,0.44216815196707204,-0.8969321743510065,51.7
2018-02-23,94.0,51.7,101.52,78.02,107.16,0.99,89.3,Chennai,4,0,23,2,0.8660254037844386,0.5000000000000001,65.45,88.0,63.8,66.0,45.65,89.1,86.9,72.41666666666667,70.79285714285716,60.57857142857143,10.841718366700759,-13.75,0.7905633969115482,0.612380204990065,0.9682507501166718,-0.2499809690726521,0.3953117887649151,-0.9185469991587165,47.85
2018-02-24,87.0,47.85,93.96,72.21,99.18,0.91,82.65,Chennai,5,1,24,2,0.8660254037844386,0.5000000000000001,51.7,65.45,88.0,57.75,34.65,58.85,90.75,68.38333333333334,68.75000000000001,61.010714285714286,13.023120465797202,-3.8500000000000014,0.8009803309782905,0.5986906625177214,0.9590788900341131,-0.28313898122818354,0.3474028211842774,-0.9377159910299093,31.9
2018-02-25,58.0,31.9,62.64,48.14,66.12,0.61,55.1,Chennai,6,1,25,2,0.8660254037844386,0.5000000000000001,47.85,51.7,65.45,72.05,41.25,36.85,84.7,55.0,67.33571428571429,61.95357142857143,14.829129955533277,-15.950000000000003,0.8111602420785621,0.5848239578463322,0.9487718864399473,-0.31596187665790293,0.2985688173637202,-0.9543881083175908,43.45
2018-02-26,79.0,43.45,85.32,65.57,90.06,0.83,75.05,Chennai,0,0,26,2,0.8660254037844386,0.5000000000000001,31.9,47.85,51.7,82.5,30.8,72.6,79.75,43.81666666666666,61.60000000000001,61.285714285714285,19.674835873944808,11.550000000000004,0.8211001178128892,0.5707841943569036,0.9373419384643772,-0.3484108069446808,0.24893980855376657,-0.9685189578512204,64.35
2018-02-27,117.0,64.35,126.36,97.11,133.38,1.23,111.15,Chennai,1,0,27,2,0.8660254037844386,0.5000000000000001,43.45,31.9,47.85,63.8,74.8,72.6,70.4,41.06666666666667,56.02142857142858,62.18928571428571,18.245384282580787,20.89999999999999,0.8307970168121247,0.5565755266413303,0.9248025743285089,-0.38044736628785164,0.19864794288017112,-0.9800709131432666,90.2
2018-02-28,164.0,90.2,177.12,136.12,186.96,1.72,155.8,Chennai,2,0,28,2,0.8660254037844386,0.5000000000000001,64.35,43.45,31.9,88.0,68.2,81.4,82.5,46.56666666666666,56.10000000000001,61.44285714285714,18.285604538361092,25.85000000000001,0.8402480696078469,0.5422021592729844,0.9111686353326631,-0.41203363695942635,0.14782713347053048,-0.9890132145779883,44.55
2018-03-01,81.0,44.55,87.48,67.23,92.34,0.85,76.95,Chennai,3,0,1,3,1.0,6.123233995736766e-17,90.2,64.35,43.45,65.45,57.2,47.3,55.0,66.0,56.41428571428572,63.01428571428571,18.932725510028757,-45.650000000000006,0.8494504794814806,0.527668345562516,0.8964562582905575,-0.44313223418263453,0.0966127018812031,-0.9953220513156602,80.3
2018-03-02,146.0,80.3,157.68,121.18,166.44,1.53,138.7,Chennai,4,0,2,3,1.0,6.123233995736766e-17,44.55,90.2,64.35,51.7,66.0,45.65,89.1,66.36666666666667,53.42857142857143,62.11071428571429,18.918264039961823,35.75,0.8584015232918917,0.512978386299228,0.8806828564301475,-0.47370635037968,0.04514101777397193,-0.9989806246941579,57.2
2018-03-03,104.0,57.2,112.32,86.32,118.56,1.09,98.8,Chennai,5,1,3,3,1.0,6.123233995736766e-17,80.3,44.55,90.2,47.85,57.75,34.65,58.85,71.68333333333332,57.51428571428572,63.13214285714286,21.407314059407213,-23.099999999999994,0.8670985522812081,0.4981366284784055,0.8638670987837349,-0.503719798736334,-0.00645086419810515,-0.9999791929590823,34.1
2018-03-04,62.0,34.1,66.96,51.46,70.68,0.65,58.9,Chennai,6,1,4,3,1.0,6.123233995736766e-17,57.2,80.3,44.55,31.9,72.05,41.25,36.85,60.68333333333334,58.85000000000001,63.09285714285715,20.99146652015207,-23.1,0.8755389928586302,0.4831474640149687,0.8460288880917339,-0.533137056031809,-0.05802556932878035,-0.9983150972033183,65.45
2018-03-05,119.0,65.45,128.52,98.77,135.66,1.25,113.05,Chennai,0,0,5,3,1.0,6.123233995736766e-17,34.1,57.2,80.3,43.45,82.5,30.8,72.6,57.199999999999996,59.16428571428572,60.38214285714286,20.532164082355287,31.35,0.8837203473619977,0.4680153284438345,0.8271893372462497,-0.5619233046832195,-0.10944576864891556,-0.993992768446958,47.3
2018-03-06,86.0,47.3,92.88,71.38,98.04,0.9,81.7,Chennai,1,0,6,3,1.0,6.123233995736766e-17,65.45,34.1,57.2,64.35,63.8,74.8,72.6,52.25,62.30714285714287,59.16428571428572,19.377165009606607,-18.150000000000006,0.8916401947968874,0.45274469960737107,0.8073707443023492,-0.5900444739548627,-0.16057454459499376,-0.9870237158387383,90.2
2018-03-07,164.0,90.2,177.12,136.12,186.96,1.72,155.8,Chennai,2,0,7,3,1.0,6.123233995736766e-17,47.3,65.45,34.1,90.2,88.0,68.2,81.4,48.949999999999996,59.871428571428574,57.98571428571429,20.134378914824094,42.900000000000006,0.8992961915530253,0.4373400963303323,0.7865965660866021,-0.6174672802835514,-0.2112757555821793,-0.9774264960104055,47.3
2018-03-08,86.0,47.3,92.88,71.38,98.04,0.9,81.7,Chennai,3,0,8,3,1.0,6.123233995736766e-17,90.2,47.3,65.45,44.55,65.45,57.2,47.3,67.64999999999999,59.871428571428574,58.142857142857146,20.134378914824094,-42.900000000000006,0.9066860720977985,0.4218060770826634,0.7648913904341225,-0.6441592666722685,-0.2614143985111562,-0.965226663665613,37.4
2018-03-09,68.0,37.4,73.44,56.44,77.52,0.71,64.6,Chennai,4,0,9,3,1.0,6.123233995736766e-17,47.3,90.2,47.3,80.3,51.7,66.0,45.65,61.599999999999994,60.26428571428572,56.846428571428575,19.80981899390874,-9.899999999999999,0.9138076496466615,0.4061472386305789,0.742280907086982,-0.6700888411055113,-0.3108569682435036,-0.9504567035349151,25.85
2018-03-10,47.0,25.85,50.76,39.01,53.58,0.49,44.65,Chennai,5,1,10,3,1.0,6.123233995736766e-17,37.4,47.3,90.2,57.2,47.85,57.75,34.65,58.300000000000004,54.13571428571429,55.825,19.205049559202575,-11.549999999999997,0.9206588168102428,0.3903682146763026,0.7187918772884232,-0.6952253139408722,-0.3594718130884232,-0.9331559438780432,24.75
2018-03-11,45.0,24.75,48.6,37.35,51.3,0.47,42.75,Chennai,6,1,11,3,1.0,6.123233995736766e-17,25.85,37.4,47.3,34.1,31.9,72.05,41.25,36.849999999999994,49.65714285714286,54.25357142857143,21.845259374584117,-1.1000000000000014,0.9272375462179537,0.374473674486883,0.6944521021088763,-0.719538934232584,-0.4071294853542516,-0.9133704517637858,30.8
2018-03-12,56.0,30.8,60.48,46.48,63.84,0.59,53.2,Chennai,0,0,12,3,1.0,6.123233995736766e-17,24.75,25.85,37.4,65.45,43.45,82.5,30.8,29.33333333333333,48.32142857142857,53.74285714285715,23.19893778356484,6.050000000000001,0.9335418911179212,0.35846832151248087,0.6692903895412567,-0.7430009249440493,-0.45370308603134424,-0.8911529104063088,55.0
2018-03-13,100.0,55.0,108.0,83.0,114.0,1.05,95.0,Chennai,1,0,13,3,1.0,6.123233995736766e-17,30.8,24.75,25.85,47.3,64.35,63.8,74.8,27.13333333333333,43.371428571428574,52.839285714285715,22.62461522956163,24.2,0.9395699859530622,0.342356891994542,0.6433365204044917,-0.765583517007675,-0.4990686026885319,-0.8665624788845385,36.3
2018-03-14,66.0,36.3,71.28,54.78,75.24,0.69,62.7,Chennai,2,0,14,3,1.0,6.123233995736766e-17,55.0,30.8,24.75,90.2,90.2,88.0,68.2,36.849999999999994,44.471428571428575,52.17142857142858,23.030991025551753,-18.700000000000003,0.945320046913132,0.3261441535642696,0.6166212130956382,-0.7872599821916922,-0.5431052396834317,-0.8396646346181327,35.2
2018-03-15,64.0,35.2,69.12,53.12,72.96,0.67,60.8,Chennai,3,0,15,3,1.0,6.123233995736766e-17,36.3,55.0,30.8,47.3,44.55,65.45,57.2,40.699999999999996,36.77142857142858,48.32142857142857,11.129534923753335,-1.0999999999999943,0.9507903724625832,0.3098349038318025,0.5891760872322963,-0.8080046647350754,-0.5856957398073508,-0.8105309990194823,58.85
2018-03-16,107.0,58.85,115.56,88.81,121.98,1.12,101.65,Chennai,4,0,16,3,1.0,6.123233995736766e-17,35.2,36.3,55.0,37.4,80.3,51.7,66.0,42.166666666666664,35.042857142857144,47.65357142857143,10.115187779251617,23.65,0.9559793438440766,0.2934339689665273,0.5610336262283677,-0.8277930117131022,-0.6267266965083301,-0.7792391467859886,36.85
2018-03-17,67.0,36.85,72.36,55.61,76.38,0.7,63.65,Chennai,5,1,17,3,1.0,6.123233995736766e-17,58.85,35.2,36.3,25.85,57.2,47.85,57.75,43.449999999999996,38.10714285714287,46.121428571428574,13.597776428869588,-22.0,0.9608854255574977,0.27694620226893646,0.5322271388474397,-0.8466016020976267,-0.666088855860977,-0.7458723993404063,55.55
2018-03-18,101.0,55.55,109.08,83.83,115.14,1.06,95.95,Chennai,6,1,18,3,1.0,6.123233995736766e-17,36.85,58.85,35.2,24.75,34.1,31.9,72.05,43.63333333333333,39.67857142857143,44.667857142857144,12.539632408981477,18.699999999999996,0.9655071658143364,0.2603764827344581,0.5027907197793043,-0.8644081744776648,-0.7036774074790128,-0.7105196029692745,50.05
2018-03-19,91.0,50.05,98.28,75.53,103.74,0.96,86.45,Chennai,0,0,19,3,1.0,6.123233995736766e-17,55.55,36.85,58.85,30.8,65.45,43.45,82.5,50.416666666666664,44.07857142857143,46.2,11.810830380871284,-5.5,0.969843196967294,0.24372971360968387,0.47275920928627757,-0.881191653407483,-0.7393922635959241,-0.673274892250183,65.45
2018-03-20,119.0,65.45,128.52,98.77,135.66,1.25,113.05,Chennai,1,0,20,3,1.0,6.123233995736766e-17,50.05,55.55,36.85,55.0,47.3,64.35,63.8,47.48333333333333,46.82857142857143,45.1,10.355145948708092,15.400000000000006,0.9738922359149924,0.22701082094141847,0.44216815196707204,-0.8969321743510065,-0.7731383255706026,-0.6342374393978054,58.85
2018-03-21,107.0,58.85,115.56,88.81,121.98,1.12,101.65,Chennai,2,0,21,3,1.0,6.123233995736766e-17,65.45,50.05,55.55,36.3,90.2,90.2,88.0,57.01666666666667,48.32142857142858,46.39642857142858,12.300130661326829,-6.600000000000001,0.9776530844816641,0.2102247521189836,0.4110537546870351,-0.9116111071930239,-0.8048257371083452,-0.593511190196115,43.45
2018-03-22,79.0,43.45,85.32,65.57,90.06,0.83,75.05,Chennai,3,0,22,3,1.0,6.123233995736766e-17,58.85,65.45,50.05,35.2,47.3,44.55,65.45,58.11666666666667,51.54285714285715,44.15714285714286,11.557480570732332,-15.399999999999999,0.981124629771712,0.19337647441020586,0.37945284372454435,-0.925211078289358,-0.8343701235229538,-0.5512045872199277,55.0
2018-03-23,100.0,55.0,108.0,83.0,114.0,1.05,95.0,Chennai,4,0,23,3,1.0,6.123233995736766e-17,43.45,58.85,65.45,58.85,37.4,80.3,51.7,55.916666666666664,52.721428571428575,43.88214285714286,9.917444947450557,11.549999999999997,0.984305844499033,0.17647097349152166,0.3474028211842774,-0.9377159910299093,-0.8616928164028522,-0.5074302810827518,61.6
2018-03-24,112.0,61.6,120.96,92.96,127.68,1.18,106.4,Chennai,5,1,24,3,1.0,6.123233995736766e-17,55.0,43.45,58.85,36.85,25.85,57.2,47.85,52.43333333333334,52.17142857142858,45.13928571428571,9.623316179244686,6.600000000000001,0.9871957872910085,0.15951325197263655,0.31494162072895193,-0.9491110448902284,-0.886721063082993,-0.46230483047981086,52.8
2018-03-25,96.0,52.8,103.68,79.68,109.44,1.01,91.2,Chennai,6,1,25,3,1.0,6.123233995736766e-17,61.6,55.0,43.45,55.55,24.75,34.1,31.9,53.35,55.70714285714286,47.69285714285714,7.329076145248836,-8.800000000000004,0.9897936029670716,0.14250832791617088,0.2821076626819194,-0.9593827529490743,-0.9093882203647925,-0.4159483918249421,55.0
2018-03-26,100.0,55.0,108.0,83.0,114.0,1.05,95.0,Chennai,0,0,26,3,1.0,6.123233995736766e-17,52.8,61.6,55.0,50.05,30.8,65.45,43.45,56.46666666666666,55.314285714285724,49.69642857142858,7.412136122924368,2.200000000000003,0.992098522791769,0.12546123335273648,0.24893980855376657,-0.9685189578512204,-0.9296339319682695,-0.3684843993077793,53.35
2018-03-27,97.0,53.35,104.76,80.51,110.58,1.02,92.15,Chennai,1,0,27,3,1.0,6.123233995736766e-17,55.0,52.8,61.6,65.45,55.0,47.3,64.35,56.46666666666666,56.02142857142858,51.425000000000004,7.053654912103796,-1.6499999999999986,0.9941098647022418,0.10837701279187609,0.21547731504673012,-0.976508846196619,-0.9474042892438845,-0.32003923622313857,36.85
2018-03-28,67.0,36.85,72.36,55.61,76.38,0.7,63.65,Chennai,2,0,28,3,1.0,6.123233995736766e-17,53.35,55.0,52.8,58.85,36.3,90.2,90.2,53.71666666666667,54.29285714285715,51.30714285714286,5.7132469293903965,-16.5,0.9958270335100595,0.09126072172931188,0.18175978759137534,-0.9833429613388902,-0.9626519747161487,-0.2707418984477642,25.85
2018-03-29,47.0,25.85,50.76,39.01,53.58,0.49,44.65,Chennai,3,0,29,3,1.0,6.123233995736766e-17,36.85,53.35,55.0,43.45,35.2,47.3,44.55,48.4,51.15000000000001,51.346428571428575,8.268313008104991,-11.0,0.9972495210773451,0.07411742515094437,0.14782713347053048,-0.9890132145779883,-0.9753363880767837,-0.2207236509605022,37.95
2018-03-30,69.0,37.95,74.52,57.27,78.66,0.72,65.55,Chennai,4,0,30,3,1.0,6.123233995736766e-17,25.85,36.85,53.35,55.0,58.85,37.4,80.3,38.68333333333334,48.63571428571429,50.67857142857143,12.561439483783696,12.100000000000001,0.998376906467142,0.056952196034039754,0.11371951458594969,-0.9935128947338007,-0.9854237542919524,-0.17011767832049052,42.9
2018-03-31,78.0,42.9,84.24,64.74,88.92,0.82,74.1,Chennai,5,1,31,3,1.0,6.123233995736766e-17,37.95,25.85,36.85,61.6,36.85,25.85,57.2,33.550000000000004,46.2,49.18571428571429,12.77295319545685,4.949999999999996,0.9992088560679753,0.03977011384605572,0.07947729992362097,-0.9968366760893436,-0.9928872135356962,-0.11905873003404988,92.95
2018-04-01,169.0,92.95,182.52,140.27,192.66,1.77,160.55,Chennai,6,1,1,4,0.8660254037844387,-0.4999999999999998,42.9,37.95,25.85,52.8,55.55,24.75,34.1,35.56666666666667,43.52857142857143,49.61785714285715,10.821770385926333,50.050000000000004,0.9997451236925734,0.022576263041545485,0.04514101777397193,-0.9989806246941579,-0.9977068927101168,-0.06768276175455162,50.05
2018-04-02,91.0,50.05,98.28,75.53,103.74,0.96,86.45,Chennai,0,0,2,4,0.8660254037844387,-0.4999999999999998,92.95,42.9,37.95,55.0,50.05,30.8,65.45,57.93333333333334,49.26428571428572,52.28928571428571,21.713642299364704,-42.900000000000006,0.9999855506507186,0.005375731557583884,0.01075130776352193,-0.9999422030204416,-0.9998699583618592,-0.016126573270657762,67.65
2018-04-03,123.0,67.65,132.84,102.09,140.22,1.29,116.85,Chennai,1,0,3,4,0.8660254037844387,-0.4999999999999998,50.05,92.95,42.9,53.35,65.45,55.0,47.3,61.96666666666667,48.557142857142864,52.28928571428572,21.575882148273536,17.60000000000001,0.9999300657962057,-0.011826390691832589,-0.023651127245231586,-0.9997202729664083,-0.9993706508539969,0.03547255575312556,37.4
2018-04-04,68.0,37.4,73.44,56.44,77.52,0.71,64.6,Chennai,2,0,4,4,0.8660254037844387,-0.4999999999999998,67.65,50.05,92.95,36.85,58.85,36.3,90.2,70.21666666666667,50.60000000000001,52.44642857142857,22.750329667941042,-30.250000000000007,0.9995786855478958,-0.029025013321975237,-0.05802556932878035,-0.9983150972033183,-0.9962102997023297,0.0869772313136861,81.4
2018-04-05,148.0,81.4,159.84,122.84,168.72,1.55,140.6,Chennai,3,0,5,4,0.8660254037844387,-0.4999999999999998,37.4,67.65,50.05,25.85,43.45,35.2,47.3,51.699999999999996,50.67857142857144,50.91428571428571,22.695811969444478,44.00000000000001,0.9989315138848577,-0.046215046983708354,-0.09233133369539122,-0.9957283388645872,-0.9903973200352558,0.1382503109109819,48.4
2018-04-06,88.0,48.4,95.04,73.04,100.32,0.92,83.6,Chennai,4,0,6,4,0.8660254037844387,-0.4999999999999998,81.4,37.4,67.65,37.95,55.0,58.85,37.4,62.15,58.614285714285714,53.625,22.2752425030891,-33.00000000000001,0.9979887423155984,-0.06339140486951038,-0.12652781683868314,-0.9919630595773397,-0.981947190186646,0.18915526872004093,53.9
2018-04-07,98.0,53.9,105.84,81.34,111.72,1.03,93.1,Chennai,5,1,7,4,0.8660254037844387,-0.4999999999999998,48.4,81.4,37.4,42.9,61.6,36.85,25.85,55.73333333333333,60.107142857142854,53.15357142857143,20.9715567013083,5.5,0.9967506498213929,-0.08054900421874167,-0.16057454459499376,-0.9870237158387383,-0.9708824104813836,0.23955655912092708,51.7
2018-04-08,94.0,51.7,101.52,78.02,107.16,0.99,89.3,Chennai,6,1,8,4,0.8660254037844387,-0.4999999999999998,53.9,48.4,81.4,92.95,52.8,55.55,24.75,61.23333333333333,61.67857142857144,52.603571428571435,19.849409251135068,-2.1999999999999957,0.9952176027737294,-0.09768276782171598,-0.19443122004766195,-0.9809161537413774,-0.957232443323312,0.28931997761869527,36.85
2018-04-09,67.0,36.85,72.36,55.61,76.38,0.7,63.65,Chennai,0,0,9,4,0.8660254037844387,-0.4999999999999998,51.7,53.9,48.4,50.05,55.0,50.05,30.8,51.333333333333336,55.78571428571429,52.52500000000001,14.390874257832996,-14.850000000000001,0.9933900548258936,-0.11478762552212701,-0.2280577712215198,-0.9736476020539838,-0.9410336347451197,0.3383130181923076,33.55
